voice_001|건강보험의 개선을 위해 정보의 효용성을 높여야 합니다.
voice_002|왜 핸드폰 문자가 보내지지 않는거죠?
voice_003|부대에서 크리스마스트리를 만드나요?
voice_004|일단 당신 회사의 양식으로 내 경력을 기술하지 않고 표준이 아닌 파일을 보낸다.
voice_005|우리는 공군으로서 사업을 하는 한국의 에어매트 제조업체입니다.
voice_006|그 도로에는 또 차량 정체네요.
voice_007|당신이 나에게 하고 싶은 말은 무엇입니까?
voice_008|작은 토끼들이 주변에서 뛰어다니나요?
voice_009|나는 지난 일요일에 피크닉 바구니를 가지고 놀러 갔어요.
voice_010|짐이 저한테 화가 난 듯이 보여요.
voice_011|저희는 가능한 이번 달 이내 한국에서 계약이 체결되길 원합니다.
voice_012|그때부터 진짜 제품을 만들고 싶다는 생각이 그의 열정에 더욱 불을 지폈을 겁니다.
voice_013|그녀는 상복을 입었어요.
voice_014|하나하나의 사소한 불편함이라도 개선하는 것이 좋다고 생각합니다.
voice_015|법인 계좌이고 여기 필요한 서류 가지고 왔습니다.
voice_016|네가 이거 좀 도와줄 수 있어?
voice_017|일본식으로 먹는 아침 식사를 좋아하세요?
voice_018|귀마개라도 사용하시면 좀 덜 시끄럽지 않을까요?
voice_019|남는 비용을 봤을 때 피자를 시켜서 먹는 것이 좋을 것 같아요.
voice_020|또한 고객에게 나누어줄 기브웨이가 있다면 함께 부탁드립니다.
voice_021|사진으로도 약식감정이 가능합니까?
voice_022|알려지지 않은 잠재적인 보안 위협도 예측이 가능하다.
voice_023|여행을 준비하면서 많은 친구가 도와줬어요.
voice_024|그녀는 작정하고 바람을 폈습니다.
voice_025|전북의 태극전사 듀오 이용과 이재성이 승리를 합작했습니다.
voice_026|전반기는 어느 때보다 치열한 선두권 경쟁이 이어졌다.
voice_027|설마 했는데 그 친구가 진짜 그녀였어요.
voice_028|엄마의 소중함과 감사함을 느꼈습니다.
voice_029|전부터 똑같은 마음이지만 사는 게 너무 행복하고 감사함의 연속이다.
voice_030|내 하느님은 눈에 보이지 않으셔도 성경에 존재하십니다.
voice_031|신생아 살리기 모자 뜨기 캠페인이 진행 중이야.
voice_032|앵커 방식은 위치의 변경을 쉽게 할 수 있습니다.
voice_033|임종헌 전 법원행정처 차장에 대한 구속영장이 발부됐다.
voice_034|그 순간 저는 매우 행복했어요.
voice_035|역시나 레포츠 동아리는 성공리에 막을 내렸습니다.
voice_036|뉴질랜드의 현재 수도는 어느 도시인가요?
voice_037|내가 동영상을 업로드 했어요.
